Cadena nº,Ángulo en x,Ángulo en y,Aceleración,Temperatura,Presión,Altura,RSSI
0.00,83.91,-0.76,10.28,19.70,102728.00,0.41,35
1.00,84.16,-1.09,10.24,19.70,102723.00,-0.16,34
2.00,84.14,-0.94,10.20,19.70,102725.00,0.16,34
3.00,83.72,-0.83,10.22,19.60,102730.00,-0.41,36
4.00,84.22,-0.88,10.18,19.60,102728.00,0.25,35
5.00,84.44,-1.01,10.23,19.60,102715.00,0.08,35
6.00,84.28,-0.83,10.32,19.60,102717.00,0.57,35
7.00,84.35,-0.96,10.21,19.60,102727.00,0.66,36
8.00,84.53,-0.67,10.27,19.60,102717.00,0.08,35
9.00,84.04,-1.22,10.21,19.60,102717.00,-0.25,35
10.00,84.30,-1.17,10.22,19.60,102716.00,0.57,35
11.00,84.01,-0.97,10.14,19.60,102719.00,0.00,35
12.00,84.80,-0.68,10.31,19.60,102717.00,0.00,35
13.00,84.81,-1.14,10.27,19.60,102721.00,0.16,36
14.00,84.26,-1.18,10.28,19.60,102724.00,0.33,35
15.00,84.04,-0.78,10.19,19.60,102725.00,0.25,35
16.00,84.64,-0.75,10.20,19.50,102723.00,0.41,35
17.00,84.09,-1.02,10.23,19.50,102721.00,0.25,36
18.00,83.97,-1.09,10.21,19.50,102717.00,0.33,35
19.00,84.03,-0.91,10.22,19.50,102718.00,0.33,35
20.00,84.37,-0.82,10.21,19.50,102719.00,0.08,35
21.00,84.35,-0.92,10.20,19.50,102717.00,0.08,35
22.00,84.31,-0.93,10.20,19.60,102718.00,0.57,36
23.00,84.62,-0.84,10.18,19.60,102721.00,0.33,35
24.00,84.15,-0.65,10.28,19.60,102719.00,0.41,35
25.00,84.11,-0.84,10.26,19.60,102718.00,0.41,35
26.00,83.90,-1.06,10.19,19.60,102715.00,0.49,35
27.00,84.38,-1.17,10.17,19.50,102713.00,0.57,35
28.00,84.11,-1.12,10.21,19.50,102718.00,0.41,35
29.00,84.43,-1.12,10.17,19.50,102717.00,0.74,35
30.00,84.46,-0.96,10.25,19.50,102712.00,0.74,35
31.00,83.86,-0.86,10.21,19.50,102718.00,1.07,36
32.00,84.03,-1.00,10.21,19.50,102717.00,0.74,36
33.00,84.38,-0.51,10.19,19.50,102716.00,0.49,35
34.00,84.14,-1.09,10.16,19.50,102718.00,0.49,35
35.00,84.49,-0.84,10.19,19.50,102721.00,0.49,36
0.00,84.49,-0.84,10.19,19.50,102721.00,0.49,103
36.00,83.86,-0.56,10.29,19.50,102720.00,0.74,35
37.00,84.38,-1.21,10.22,19.60,102717.00,0.66,35
38.00,84.41,-0.96,10.26,19.50,102718.00,0.99,36
39.00,83.44,-1.01,10.22,19.60,102717.00,0.90,35
40.00,84.49,-0.72,10.25,19.60,102713.00,0.66,35
41.00,84.01,-1.29,10.22,19.60,102717.00,0.57,39
42.00,83.95,-45.00,10.20,19.60,102712.00,0.57,36
43.00,45.00,-0.98,10.20,19.60,102715.00,0.74,41
