Cadena nº,Ángulo en x,Ángulo en y,Aceleración,Temperatura,Presion,Altura,RSSI,Latitud,Longitud
0.00,2.15,84.88,9.72,25.60,100622.00,-0.84,29,36.6776,-6.1077
1.00,1.57,84.45,9.71,25.60,100619.00,-0.25,31,36.6776,-6.1077
2.00,1.94,84.14,9.63,25.80,100619.00,-0.42,32,36.6776,-6.1077
3.00,1.46,83.25,9.69,26.00,100622.00,-0.17,31,36.6776,-6.1077
4.00,1.26,85.41,9.67,26.30,100610.00,-0.84,31,36.6776,-6.1077
5.00,1.85,85.35,9.67,26.60,100607.00,-0.75,30,36.6776,-6.1077
6.00,0.27,89.77,10.82,26.90,100628.00,-1.01,32,36.6776,-6.1077
7.00,1.95,84.53,9.59,27.10,100620.00,-0.59,32,36.6776,-6.1077
8.00,1.84,84.54,9.63,27.40,100618.00,-0.08,31,36.6776,-6.1077
9.00,1.97,84.43,9.61,27.70,100617.00,0.34,32,36.6776,-6.1077
10.00,1.66,84.77,9.69,27.90,100620.00,-0.50,33,36.6776,-6.1077
11.00,2.06,84.50,9.67,28.20,100607.00,0.17,31,36.6776,-6.1077
12.00,2.05,83.93,9.71,28.30,100594.00,-0.17,32,36.6776,-6.1077
13.00,1.54,84.28,9.74,28.50,100620.00,-1.26,42,36.6776,-6.1077
14.00,1.64,84.71,9.65,28.60,100597.00,-0.08,32,36.6777,-6.1077
15.00,2.00,84.26,9.66,28.70,100623.00,-0.08,34,36.6778,-6.1077
16.00,1.88,84.42,9.73,28.80,100618.00,-0.75,31,36.6779,-6.1078
17.00,2.19,83.93,9.72,28.90,100619.00,-0.92,34,36.6779,-6.1078
18.00,1.71,84.64,9.89,29.00,100599.00,0.00,42,36.6778,-6.1077
19.00,1.85,84.96,9.65,29.10,100604.00,0.84,41,36.6777,-6.1077
20.00,1.54,83.96,9.74,29.10,100599.00,-0.08,35,36.6776,-6.1077
21.00,1.39,85.61,9.67,29.20,100602.00,0.42,39,36.6776,-6.1077
22.00,1.72,84.36,9.66,29.20,100623.00,0.17,34,36.6776,-6.1077
23.00,1.19,84.23,9.66,29.20,100595.00,0.84,34,36.6776,-6.1077
24.00,2.06,84.21,9.73,29.30,100616.00,0.92,36,36.6776,-6.1077
25.00,1.94,83.87,9.74,29.40,100599.00,0.67,33,36.6776,-6.1077
 -=- Nuevos datos -=-,0,0,0,0,0,0,0,0,0
27.00,4.36,81.75,9.65,29.50,100609.00,-0.50,33,36.6776,-6.1077
28.00,1.55,84.82,9.67,29.50,100605.00,0.17,34,36.6776,-6.1077
29.00,1.50,84.46,9.61,29.60,100608.00,-0.84,33,36.6776,-6.1077
30.00,1.60,84.66,9.70,29.80,100614.00,-1.01,33,36.6776,-6.1077
31.00,1.53,84.41,9.69,29.80,100608.00,0.34,32,36.6775,-6.1076
32.00,2.05,83.90,9.64,29.90,100617.00,0.00,34,36.6775,-6.1076
33.00,1.75,84.77,9.72,29.90,100611.00,0.17,36,36.6775,-6.1076
34.00,1.99,84.30,9.67,29.90,100606.00,0.50,32,36.6775,-6.1076
35.00,1.83,84.33,9.70,30.00,100604.00,0.67,32,36.6775,-6.1076
36.00,2.30,84.27,9.63,30.00,100613.00,-0.08,34,36.6776,-6.1076
37.00,1.76,84.86,9.67,29.90,100616.00,-0.08,33,36.6776,-6.1077
 -=- Nuevos datos -=-,0,0,0,0,0,0,0,0,0
42.00,2.10,84.18,9.66,30.10,100607.00,0.17,50,36.6776,-6.1076
44.00,1.55,83.88,9.72,30.20,100617.00,0.08,41,36.6776,-6.1076
45.00,1.44,84.16,9.70,30.30,100610.00,0.42,56,36.6776,-6.1076
46.00,2.13,83.75,9.61,30.20,100620.00,0.25,45,36.6776,-6.1076
48.00,2.27,83.89,9.69,30.10,100606.00,0.08,35,36.6776,-6.1076
49.00,1.49,83.80,9.68,30.10,100607.00,1.01,33,36.6776,-6.1077
51.00,1.72,84.49,9.65,30.20,100609.00,1.01,32,36.6776,-6.1077
52.00,2.40,84.83,9.62,30.20,100610.00,0.34,33,36.6776,-6.1078
54.00,2.11,83.81,9.71,30.30,100612.00,1.01,39,36.6776,-6.1077
 -=- Nuevos datos -=-,0,0,0,0,0,0,0,0,0
55.00,1.95,84.20,9.76,30.30,100607.00,1.34,42,0.0000,0.0000
56.00,1.64,83.90,9.72,30.30,100598.00,0.92,48,36.6776,-6.1077
57.00,2.33,84.35,9.71,30.30,100607.00,0.59,38,36.6776,-6.1077
58.00,1.66,85.00,9.70,30.40,100614.00,0.92,37,36.6776,-6.1077
59.00,2.18,84.14,9.72,30.40,100610.00,0.75,57,36.6776,-6.1077
60.00,1.59,84.25,9.66,30.40,100616.00,-0.25,50,36.6776,-6.1077
61.00,0.93,83.31,9.72,30.40,100602.00,0.17,48,36.6776,-6.1077
62.00,1.95,83.93,9.66,30.40,100612.00,0.08,41,36.6777,-6.1076
63.00,2.50,84.08,9.60,30.40,100614.00,-0.17,58,36.6777,-6.1077
64.00,2.45,83.97,9.63,30.50,100600.00,-0.17,50,36.6777,-6.1077
65.00,1.91,84.52,9.62,30.50,100611.00,0.25,54,36.6777,-6.1077
66.00,2.19,83.81,9.78,30.50,100605.00,0.67,56,36.6777,-6.1077
67.00,1.95,84.08,9.59,30.60,100603.00,0.42,35,36.6777,-6.1077
68.00,1.80,83.99,9.67,30.60,100613.00,0.17,35,36.6776,-6.1077
69.00,2.16,84.36,9.71,30.60,100618.00,-0.42,44,36.6776,-6.1077
70.00,2.18,84.05,9.71,30.70,100616.00,0.84,42,36.6776,-6.1077
71.00,1.68,84.29,9.91,30.70,100605.00,0.50,42,36.6776,-6.1077
72.00,1.90,84.70,9.74,30.70,100606.00,0.92,35,36.6776,-6.1077
73.00,1.76,84.45,9.68,30.70,100614.00,-0.08,44,36.6776,-6.1077
74.00,1.95,83.77,9.73,30.70,100609.00,0.34,35,36.6776,-6.1077
75.00,1.74,84.13,9.69,30.70,100606.00,0.42,32,36.6776,-6.1077
76.00,1.84,83.92,9.72,30.70,100613.00,0.17,33,36.6776,-6.1077
77.00,2.82,83.56,9.63,30.70,100620.00,-0.59,35,36.6776,-6.1077
78.00,1.35,84.54,9.69,30.80,100614.00,0.08,35,36.6776,-6.1077
79.00,1.82,84.50,9.67,30.70,100610.00,-0.59,37,36.6775,-6.1077
 -=- Nuevos datos -=-,0,0,0,0,0,0,0,0,0
81.00,1.08,84.02,9.54,30.70,100615.00,-0.92,42,36.6775,-6.1077
82.00,1.86,84.25,9.66,30.70,100607.00,-0.67,36,36.6775,-6.1077
